,id,timestamp,queue_delay_port_137,number_of_packets_for_average_port_137,queue_delay_port_136,number_of_packets_for_average_port_136
423,216,819970175283162,818466158,272,79521,147
424,216,819970528978949,3210593594,282,59407,110
425,217,819970891871671,1769630671,162,23872,44
426,217,819971249910546,962139776,222,28087,52
427,218,819971603990504,90469390,302,29722,55
428,218,819971960392104,3285191267,332,29722,55
429,219,819972315372521,2468151409,312,26424,49
430,219,819972675016485,4107726093,347,16161,30
431,220,819973031305598,2073296910,307,55489,103
432,220,819973392259729,2437523574,297,51828,96
433,221,819973745035127,1771469094,187,29147,54
434,221,819974100086463,478471723,297,45278,84
435,222,819974460739442,3166986083,322,32914,61
436,222,819974814511198,3319662977,312,49134,91
437,223,819975168910967,3757335857,327,67438,125
438,223,819975528022178,1181300569,287,153850,285
439,224,819975891597776,1692493329,332,178226,330
440,224,819976247693941,1590845074,252,134844,250
441,225,819976602120893,986958324,282,43124,80
442,225,819976953713807,273407799,332,54974,102
443,226,819977315229728,1186503360,247,29197,54
444,226,819977665033891,2711952124,202,23737,44
445,227,819978017851386,2384183527,257,73383,136
446,227,819978371692684,3391556208,247,78805,146
447,228,819978722929195,2793849823,202,21565,40
448,228,819979080154843,3519567084,302,72808,135
449,229,819979443543206,2529225092,287,153776,285
450,229,819979813977166,1817255317,252,134840,250
451,230,819980168684026,2945397036,237,126798,235
452,230,819980519773880,3979852753,302,161810,300
453,231,819980875833015,2592432989,302,161990,300
454,231,819981235075447,1185451712,292,156650,290
455,232,819981595671729,585061139,302,52886,98
456,232,819981958398688,1523698675,342,46468,86
457,233,819982316804334,1016591293,197,27103,50
458,233,819982675765741,816201037,342,54529,101
459,234,819983027429779,410853532,257,28672,53
460,234,819983382659910,788089783,292,10781,20
461,235,819983746314155,1673107590,282,49690,92
462,235,819984092698600,2323138393,312,62670,116
463,236,819984452711286,3287025737,352,138331,256
464,236,819984809282557,2469857817,367,196969,365
465,237,819985525247136,1254552704,182,22766,42
466,238,819985880328802,3206349316,232,92019,170
467,238,819986234762711,2528266308,342,183286,340
468,239,819986591162314,2818731056,197,105355,195
469,239,819986951028846,489198411,347,186207,345
470,240,819987305601585,340652830,287,153931,285
471,240,819987660613379,132018268,307,142614,264
472,241,819988026901042,3757964876,222,38359,71
473,241,819988378223168,231372105,127,14056,26
474,242,819988738482786,2762462061,147,11327,21
475,242,819989088846143,1978732796,122,18955,35
476,243,819989440040964,469505925,137,16189,30
477,243,819989794861795,306874048,152,40432,75
478,244,819990144975767,1082838898,142,75611,140
479,244,819990500991188,634499520,132,70288,130
480,245,819990851994769,2828586184,132,70220,130
481,245,819991208098961,839592122,122,64960,120
482,246,819991558409737,2248868488,122,50258,93
483,246,819991920145725,2141215744,207,110571,205
484,247,819992272887693,432292786,262,140166,260
485,247,819992638432701,640100770,262,140129,260
486,248,819992990712816,3906639230,297,159032,295
487,248,819993348182949,3146647738,282,151025,280
488,249,819993703590975,1094052975,297,49074,91
489,249,819994057908358,3905488803,287,16200,30
490,250,819994421605377,4002588794,307,37224,69
491,250,819994775287033,3910640521,347,57718,107
492,251,819995135955369,3871975730,342,28102,52
493,251,819995491203459,3720849055,357,156697,290
494,252,819995850056662,2403877321,232,89678,166
495,252,819996213051017,3607042752,172,9199,17
496,253,819996573068213,3180931687,312,89014,165
497,253,819996927028986,3873333238,182,97095,180
498,254,819997285824426,1001371150,207,110521,205
499,254,819997644867717,2320045975,342,183389,340
500,255,819998004064821,3018261500,337,74430,138
501,255,819998366327738,3681215753,307,60518,112
502,256,819998721698481,2448987008,292,45417,84
503,256,819999076808296,1746959358,277,127528,236
504,257,819999424147972,333518631,187,100235,185
505,257,819999778937907,326176408,292,156732,290
506,258,820000131454571,426132575,187,100148,185
507,258,820000487743389,1958002879,317,170150,315
508,259,820000848692104,313184832,272,145963,270
509,259,820001201122418,3806899389,182,97328,180
510,260,820001558736124,3238480156,347,186346,345
511,260,820001913255990,1520645126,282,92455,171
512,261,820002268865800,1296684794,277,31831,59
513,261,820002624888551,2523438697,317,69058,128
514,262,820002979812427,1031065793,242,28570,53
515,262,820003339041698,2124844751,227,18917,35
516,263,820003694856562,1800319758,297,81486,151
517,263,820004050852930,3173480634,287,153876,285
518,264,820004405991898,538317615,277,148311,275
519,264,820004765059623,3255176044,232,124076,230
520,265,820005129809715,3866072161,262,49618,92
521,265,820005484819821,1803282923,142,16755,31
522,266,820005844893061,1606533988,122,18370,34
523,266,820006202809885,1110897976,137,20478,38
524,267,820006559864750,3379865272,142,22681,42
525,267,820006916822062,4212245434,132,12417,23
526,268,820007279768589,166119966,277,32920,61
527,268,820007635377575,1244271597,187,28065,52
528,269,820007991844670,3255280111,182,36154,67
529,269,820008342089908,2313580223,257,30749,57
530,270,820008700438864,3656759359,352,188648,350
531,270,820009050772438,1510577913,307,164497,305
532,271,820009413136711,645733483,317,79302,147
533,271,820009767529032,3983939724,312,44230,82
534,272,820010117152653,1090900795,287,45262,84
535,272,820010472518209,528431628,342,50144,93
536,273,820010829075460,2975004948,337,69508,129
537,273,820011187522576,2127197049,357,12936,24
538,274,820011548283858,2776855075,292,140217,260
539,274,820011901866524,2622123421,182,97164,180
540,275,820012256924450,3930985325,152,80827,150
541,275,820012608950524,935520161,137,72758,135
542,276,820012968013632,2205519641,137,72859,135
543,276,820013321916188,2864804234,152,80815,150
544,277,820013676985423,302520751,312,116459,216
545,277,820014040273501,3481457629,267,30295,56
546,278,820014391064496,2549525305,322,29133,54
547,278,820014741273985,3177941753,247,72868,135
548,279,820015095590199,2008886641,287,153612,285
549,279,820015455142417,1475828333,272,145847,270
550,280,820015809262360,3994618196,347,186223,345
551,280,820016157605580,2872917216,227,121462,225
552,281,820016510626660,3639584690,332,118100,219
553,281,820016862935966,2597781966,127,21633,40
554,282,820017211200687,2237053999,112,10812,20
555,282,820017562613683,734903970,237,31825,59
556,283,820017915013779,1876559217,302,32925,61
557,283,820018265716684,3675707731,312,55621,103
